	평점	일시	감상평
0	9	2019.12.31 09:48	미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
1	10	2019.12.31 10:41	저 해전이 있었기에 우리나라 광복도 가능 했음
2	10	2019.12.31 09:38	백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
3	10	2019.12.31 09:14	방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
4	10	2019.12.31 19:58	교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
5	10	2019.12.31 09:29	스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
6	10	2019.12.31 09:52	안보면후회함 백두산보다낫다
7	10	2019.12.31 09:01	재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
8	10	2019.12.31 16:37	일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
9	8	2019.12.31 10:14	아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) 
10	10	2019.12.31 13:09	영화이지만 실화이기에 재밌다고 말하기는 뭐하지만 정말 리얼입니다. 영상미도 좋고 스토리도 실화에 바탕으로 탄탄하게 잘 만들어져 있어요
11	10	2019.12.31 09:48	화산폭발하는 국내 영화의 어설픈 CG 보다가  대규모 전쟁씬 나오는 영화 한장면만 봐도 가슴이 뻥 뚫립니다
12	10	2019.12.31 09:40	전쟁영화 역사상 가장위대한 연출
13	10	2019.12.31 10:54	딕 베스트 이름으로 모든 것이 설명된다 ㅋㅋㅋ
14	10	2019.12.31 10:07	지금 조조보고 나왔는데 정말 대박이다. 전쟁사 관심많아서 여러 영화봤지만 이건 리얼이다. 그리고 야마구치 함장 어뢰 투하 전 젊은이는 살아야한다고 마지막 명령이라고 말할 때 일본인이지만 해군 장교의 참 모습을 보았음!! 어제 만취하고 아침에 겨우 일어나서 7시45분 영화봤지만 좋았음 
15	10	2019.12.31 16:27	절치부심. 잠자는 거인을 깨웠다.적 항공모함에 폭탄을 투하하기위해 돌진하는 급강하폭격기의 용맹함이 존경스러웠다.
16	8	2019.12.31 10:10	제국주의 일본의 몰락, 2019의 화려한 마무리
17	10	2019.12.31 12:59	같이 본 밀덕아들이 최고의 공군영화랍니다.실감나는 전투장면과 고증이 인상깊네요
18	10	2019.12.31 11:44	백두산 손익분기점 가려고 되도않는상영관 잡고 있는데 당장 내리고 최신영화,대작들 상영관좀 늘려라.
